MAPS_test_genome	MAPS_test_type	MAPS_test_start	MAPS_test_end	MAPS_test_strand	MAPS_test_p_value	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_log2foldchange	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_pvalue	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_padj	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_log2foldchange	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_pvalue	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_padj	id_lower	SPI1_Pulse_Tidy_logFC	SPI1_Pulse_Tidy_p_value	SPI1_Pulse_Tidy_FDR	gene
NC_016810.1	CDS	3987006	3987908	+	2.24854e-8	7.7	NA	3.65438e-7	-1.31	0.135794248	0.419829513	yicl	NA	NA	NA	yicL
NC_016810.1	CDS	1017164	1017856	+	3.46674e-7	7.69	NA	3.50561e-6	0.7	0.542836939	0.785689758	sl1344_0913	NA	NA	NA	SL1344_0913
NC_016810.1	CDS	609744	610376	-	7.71804e-8	7.67	NA	9.75024e-7	0.8	0.405275223	0.688823874	fimz	NA	NA	NA	fimZ
NC_016810.1	CDS	782402	783142	+	1.68822e-7	7.57	NA	1.8856e-6	1.75	0.077155036	0.31335814	sl1344_0699	NA	NA	NA	SL1344_0699
NC_016810.1	CDS	4073651	4074586	+	1.63498e-14	7.55	NA	3.68688e-12	0.52	0.559922646	0.798254576	sl1344_3813	0.610771692	0.022957212	0.360128785	SL1344_3813
NC_016810.1	sRNA	610437	610589	-	9.4463e-8	7.55	NA	1.14987e-6	0	0.998090581	0.999555735	srna32	NA	NA	NA	sRNA32
NC_016810.1	CDS	1554350	1554784	-	3.32572e-7	7.47	NA	3.3896e-6	2.36	0.021425142	0.149056243	marr	NA	NA	NA	marR
NC_016810.1	CDS	1648099	1648497	-	6.37079e-12	7.45	NA	4.59716e-10	0.38	0.723197819	0.887356063	ugtl	-0.491192461	0.034713402	0.426006646	ugtL
NC_016810.1	sRNA	3322951	3323039	+	1.31965e-8	7.42	NA	2.34315e-7	2	0.035020119	0.198525817	stnc3890	NA	NA	NA	STnc3890
NC_016810.1	CDS	2029188	2029406	-	7.5686e-11	7.4	NA	3.71026e-9	4.71	3.24742e-5	0.002920945	sl1344_1916	-0.178824427	0.440898515	0.951670844	SL1344_1916
NC_016810.1	sRNA	74891	75015	-	1.51771e-6	7.4	NA	1.17812e-5	2.75	0.02005896	0.142903368	stnc3230	NA	NA	NA	STnc3230
NC_016810.1	CDS	3394760	3394975	+	1.05709e-16	7.39	NA	1.18878e-13	4.34	8.03239e-7	2.85192e-4	rpsu	-0.428333297	0.010585459	0.214563695	rpsU
NC_016810.1	CDS	2583279	2583509	-	1.25243e-14	7.38	NA	2.99662e-12	-0.72	0.39522037	0.679972395	sl1344_2438	-0.545527526	0.004097075	0.104100339	SL1344_2438
NC_016810.1	sRNA	2837604	2837643	+	3.59307e-7	7.38	NA	3.58116e-6	1.19	0.230665868	0.535742236	styr-99	-0.230861957	0.331211023	0.897480257	StyR-99
NC_016810.1	sRNA	756377	756432	-	5.72015e-7	7.37	NA	5.2488e-6	1.53	0.142264403	0.427680778	tp28	NA	NA	NA	tp28
NC_016810.1	sRNA	3099171	3100233	-	5.25576e-12	7.36	NA	3.97984e-10	2.81	0.001408005	0.032417752	crrna1	NA	NA	NA	crRNA1
NC_016810.1	CDS	4077661	4078416	+	3.22714e-7	7.33	NA	3.30774e-6	0.22	0.824541145	0.935163847	sl1344_3816	0.195848734	0.4815453	0.951670844	SL1344_3816
NC_016810.1	CDS	4581178	4581465	-	6.77446e-10	7.33	NA	2.09266e-8	-0.85	0.456773462	0.724692798	sl1344_4250	-1.016439741	2.04856e-5	0.001154876	SL1344_4250
NC_016810.1	sRNA	738320	738476	+	1.01678e-6	7.31	NA	8.39866e-6	2.09	0.055731534	0.260003406	stnc3290	NA	NA	NA	STnc3290
NC_016810.1	CDS	3577682	3577978	+	1.20313e-12	7.25	NA	1.17476e-10	0.39	0.641561456	0.845142274	fis	NA	NA	NA	fis
NC_016810.1	CDS	3753715	3754824	-	7.30484e-7	7.25	NA	6.39705e-6	0.34	0.740142841	0.897215383	livk	NA	NA	NA	livK
NC_016810.1	sRNA	4328157	4328305	+	2.0693e-9	7.25	NA	5.25776e-8	3.08	0.001231701	0.029846865	isrp	NA	NA	NA	IsrP
NC_016810.1	CDS	4698567	4699793	+	6.91402e-7	7.23	NA	6.09623e-6	1.28	0.202128256	0.503032642	sl1344_4364	NA	NA	NA	SL1344_4364
NC_016810.1	CDS	1626357	1626989	-	5.46611e-15	7.22	NA	1.64348e-12	0.16	0.857779121	0.94598299	sl1344_1514	-0.979259838	5.72902e-5	0.002650039	SL1344_1514
NC_016810.1	CDS	385057	385821	+	4.45591e-15	7.22	NA	1.54586e-12	-0.04	0.966242069	0.987140475	sl1344_0336	NA	NA	NA	SL1344_0336
NC_016810.1	sRNA	3587262	3587429	-	9.01512e-14	7.2	NA	1.4265999999999999e-11	1.58	0.071783286	0.300963361	stnc3990	NA	NA	NA	STnc3990
NC_016810.1	CDS	894722	895381	-	1.01507e-10	7.17	NA	4.71956e-9	0.13	0.886887692	0.958344445	glnp	NA	NA	NA	glnP
NC_016810.1	CDS	618456	618692	+	3.68918e-10	7.17	NA	1.32049e-8	1.86	0.045837791	0.231813615	cusa	NA	NA	NA	cusA
NC_016810.1	CDS	3032477	3033382	-	1.88806e-14	7.17	NA	3.87053e-12	2	0.030788123	0.185796581	avra	-0.033304238	0.863448095	0.988871448	AvrA
NC_016810.1	CDS	2720902	2721630	-	1.20786e-15	7.15	NA	5.73417e-13	5	9.88248e-9	9.52388e-6	reco	0.451592836	0.054282689	0.539442558	recO
NC_016810.1	CDS	638504	638845	+	8.20711e-12	7.14	NA	5.52449e-10	3.31	7.83476e-4	0.02250258	rama	NA	NA	NA	ramA
NC_016810.1	CDS	2245622	2245903	-	1.0432e-9	7.12	NA	2.89529e-8	1.45	0.100735703	0.362521309	sl1344_2130	NA	NA	NA	SL1344_2130
NC_016810.1	CDS	2249729	2250187	+	6.10596e-7	7.12	NA	5.52321e-6	-0.72	0.45241864	0.72093304	yehr	NA	NA	NA	yehR
NC_016810.1	CDS	1575173	1576459	-	1.08999e-6	7.11	NA	8.89746e-6	0.85	0.39980752	0.684543536	sl1344_1472	NA	NA	NA	SL1344_1472
NC_016810.1	CDS	1348660	1348980	+	4.02904e-10	7.1	NA	1.38182e-8	-0.97	0.255044723	0.560837791	cela	NA	NA	NA	celA
NC_016810.1	CDS	3937262	3938059	-	4.02481e-14	7.1	NA	7.26075e-12	1.63	0.06560069	0.284630442	rfap	-0.074548379	0.764831536	0.980552058	rfaP
NC_016810.1	sRNA	1294946	1295057	-	8.39641e-8	7.08	NA	1.04752e-6	2.58	0.00755424	0.081318667	stnc3430	NA	NA	NA	STnc3430
NC_016810.1	CDS	1955338	1956156	+	3.03881e-8	7.07	NA	4.68124e-7	1.47	0.162444162	0.456603466	sl1344_1838	NA	NA	NA	SL1344_1838
NC_016810.1	CDS	575491	575973	+	6.802e-10	7.05	NA	2.09399e-8	2.86	0.002253625	0.041782768	alla	NA	NA	NA	allA
NC_016810.1	CDS	389874	390398	+	6.82669e-6	7.04	NA	4.12436e-5	1.02	0.406742351	0.689463917	sl1344_0341	NA	NA	NA	SL1344_0341
NC_016810.1	CDS	4580940	4581155	-	2.52139e-9	7.03	NA	6.08367e-8	2.11	0.069499758	0.295043784	sl1344_4249	-1.249687711	1.11355e-7	8.37017e-6	SL1344_4249
NC_016810.1	CDS	442093	442377	+	1.99951e-11	7.03	NA	1.14877e-9	2.1	0.020825945	0.146642191	sl1344_0386	-0.037868218	0.87612768	0.988871448	SL1344_0386
NC_016810.1	CDS	3837910	3839235	-	2.23694e-6	7.02	NA	1.62719e-5	1.28	0.225017677	0.529588335	sl1344_3597	NA	NA	NA	SL1344_3597
NC_016810.1	CDS	1068940	1069257	+	8.83365e-17	7	NA	1.13828e-13	2.96	1.85555e-4	0.009178798	sl1344_0962	-0.288896353	0.255389859	0.865346655	SL1344_0962
NC_016810.1	CDS	1789065	1789361	+	8.28825e-15	6.98	NA	2.26627e-12	1.06	0.198483427	0.499615372	sl1344_1669	-0.045308737	0.860059903	0.988871448	SL1344_1669
NC_016810.1	CDS	1010628	1011587	+	4.59416e-14	6.98	NA	7.96909e-12	-1.67	0.070012586	0.295639021	sopd2	NA	NA	NA	sopD2
NC_016810.1	CDS	2511513	2511755	-	1.84774e-13	6.96	NA	2.68816e-11	3.01	4.26894e-4	0.015835068	sl1344_2368	NA	NA	NA	SL1344_2368
NC_016810.1	CDS	1632950	1633615	-	1.93499e-8	6.94	NA	3.2143e-7	1.13	0.304856189	0.60291992	sl1344_1519	NA	NA	NA	SL1344_1519
NC_016810.1	CDS	820557	821276	+	3.83141e-8	6.94	NA	5.60119e-7	-0.07	0.944737465	0.980341322	pnuc	NA	NA	NA	pnuC
NC_016810.1	CDS	773872	774078	+	5.27664e-16	6.94	NA	2.79972e-13	4.07	1.20133e-6	3.68371e-4	ybfa	NA	NA	NA	ybfA
NC_016810.1	sRNA	898557	898793	+	8.29123e-15	6.92	NA	2.26627e-12	2.12	0.014511157	0.11808476	stnc650	0.141191782	0.495619603	0.951670844	STnc650
NC_016810.1	CDS	3546695	3547360	-	1.32282e-14	6.92	NA	3.05945e-12	2.81	6.47773e-4	0.020045313	sl1344_3329	NA	NA	NA	SL1344_3329
NC_016810.1	CDS	1015267	1017027	-	4.69639e-9	6.9	NA	9.94401e-8	1.18	0.19081964	0.491699499	sl1344_0912	NA	NA	NA	SL1344_0912
NC_016810.1	CDS	4829629	4830693	-	2.96999e-10	6.89	NA	1.13035e-8	1.84	0.0608441	0.273510235	sl1344_4482	NA	NA	NA	SL1344_4482
NC_016810.1	sRNA	638338	638481	+	2.26245e-9	6.88	NA	5.54547e-8	3.46	5.21338e-4	0.017721348	styr-3	NA	NA	NA	StyR-3
NC_016810.1	CDS	1231415	1231936	+	4.45355e-17	6.88	NA	6.69517e-14	3.76	2.33013e-6	5.07066e-4	sl1344_1127	-0.1963617	0.333297051	0.898756175	SL1344_1127
NC_016810.1	CDS	943926	944303	+	1.92726e-11	6.87	NA	1.12154e-9	1.65	0.054086392	0.255151608	sl1344_0847	NA	NA	NA	SL1344_0847
NC_016810.1	CDS	1447129	1447878	+	3.01251e-13	6.85	NA	3.93809e-11	0.51	0.585450986	0.813023642	ssaj	NA	NA	NA	ssaJ
NC_016810.1	CDS	4601060	4601206	+	1.19787e-14	6.85	NA	2.99662e-12	1.17	0.184651769	0.485259382	ecnb	-1.592710631	1.40319e-11	2.10947e-9	ecnB
NC_016810.1	CDS	4796855	4797556	-	8.26496e-7	6.84	NA	7.13342e-6	-2.59	0.003784253	0.055316424	sl1344_4453	NA	NA	NA	SL1344_4453
NC_016810.1	CDS	408034	408135	+	4.0253e-7	6.83	NA	3.90831e-6	2.06	0.122487324	0.399553786	sl1344_0354	NA	NA	NA	SL1344_0354
NC_016810.1	CDS	3934829	3935842	-	2.12324e-13	6.83	NA	2.9464e-11	-0.02	0.983553593	0.994611383	rfai	-0.067982777	0.783147228	0.980552058	rfaI
NC_016810.1	sRNA	94653	94771	-	2.02914e-13	6.82	NA	2.90522e-11	1.77	0.046539126	0.233574018	stnc470	NA	NA	NA	STnc470
NC_016810.1	sRNA	4601021	4601437	+	1.84416e-14	6.82	NA	3.86846e-12	1.17	0.186225118	0.488201815	stnc1190	-1.546341143	1.048e-11	1.76115e-9	STnc1190
NC_016810.1	CDS	3844343	3845412	-	1.36259e-7	6.81	NA	1.56968e-6	0.37	0.68964562	0.872370027	sl1344_3602	NA	NA	NA	SL1344_3602
NC_016810.1	CDS	4597983	4598840	-	3.29397e-9	6.81	NA	7.56021e-8	2.02	0.031276869	0.187884024	sl1344_4269	NA	NA	NA	SL1344_4269
NC_016810.1	CDS	2282680	2284200	-	5.39718e-15	6.77	NA	1.64348e-12	-0.92	0.280809705	0.586302156	mgla	-0.558630567	0.002066111	0.063173973	mglA
NC_016810.1	CDS	1655215	1655811	-	6.12945e-12	6.77	NA	4.45868e-10	0.66	0.450096857	0.719598947	tehb	NA	NA	NA	tehB
NC_016810.1	CDS	1444377	1444811	+	5.60688e-12	6.76	NA	4.11171e-10	-0.28	0.777578874	0.913113519	sscb	NA	NA	NA	sscB
NC_016810.1	CDS	3442143	3442976	-	8.13602e-10	6.75	NA	2.40635e-8	-0.7	0.447512406	0.717626753	sl1344_3225	NA	NA	NA	SL1344_3225
NC_016810.1	CDS	4132442	4133371	+	3.48784e-10	6.75	NA	1.27728e-8	0.91	0.366963072	0.657364999	ilve	NA	NA	NA	ilvE
NC_016810.1	CDS	1447896	1448444	+	1.39638e-11	6.74	NA	8.68643e-10	0.48	0.630242938	0.839003138	sl1344_1344	NA	NA	NA	SL1344_1344
NC_016810.1	CDS	2809791	2810699	-	2.71025e-8	6.72	NA	4.23682e-7	3.28	0.00551642	0.068282139	sl1344_2626	NA	NA	NA	SL1344_2626
NC_016810.1	CDS	1536804	1537523	+	4.1835e-13	6.71	NA	5.05026e-11	0.82	0.320681429	0.619573309	sl1344_1431	NA	NA	NA	SL1344_1431
NC_016810.1	CDS	3309675	3311159	+	2.8876e-6	6.7	NA	2.01908e-5	-0.85	0.376217453	0.665607904	sl1344_3103	NA	NA	NA	SL1344_3103
NC_016810.1	CDS	1231988	1232161	+	3.74319e-16	6.7	NA	2.5972e-13	4.23	1.53628e-7	9.4216e-5	rpl32	-0.593142576	0.003219668	0.089358178	rpl32
NC_016810.1	CDS	1313040	1313834	+	1.58014e-8	6.7	NA	2.70452e-7	1.6	0.078067389	0.314833808	sl1344_1215	NA	NA	NA	SL1344_1215
NC_016810.1	CDS	691643	692215	+	2.75498e-10	6.7	NA	1.06261e-8	1.32	0.154442909	0.446860337	pagp	-0.232994612	0.258796353	0.865346655	pagP
NC_016810.1	CDS	3830256	3831554	+	4.56002e-7	6.69	NA	4.33876e-6	1.53	0.11402334	0.385371469	yhjv	NA	NA	NA	yhjV
NC_016810.1	CDS	3255742	3256419	+	1.19518e-5	6.69	NA	6.59001e-5	2.59	0.024785261	0.162237739	sl1344_3050	NA	NA	NA	SL1344_3050
NC_016810.1	CDS	3206685	3207383	-	6.65899e-8	6.68	NA	8.6299e-7	1.58	0.109408378	0.37689844	sl1344_3003	NA	NA	NA	SL1344_3003
NC_016810.1	CDS	3044111	3044593	+	6.90536e-13	6.68	NA	7.41504e-11	-0.92	0.313987325	0.612715793	iagb	-0.171373204	0.265941625	0.865346655	iagB
NC_016810.1	CDS	1297610	1298584	+	9.17701e-6	6.68	NA	5.27575e-5	1.56	0.156408442	0.448044619	sl1344_1192	NA	NA	NA	SL1344_1192
NC_016810.1	CDS	4384436	4384864	+	1.69757e-16	6.67	NA	1.53121e-13	3.76	2.44142e-6	5.14682e-4	rplk	-0.016616258	0.942144051	0.990619629	rplK
NC_016810.1	CDS	1683729	1685279	+	3.27446e-8	6.67	NA	4.94734e-7	0.77	0.452889332	0.72093304	sl1344_1567	NA	NA	NA	SL1344_1567
NC_016810.1	CDS	489742	491253	+	2.59178e-10	6.67	NA	1.02986e-8	0.89	0.340343897	0.635574023	sl1344_0431	NA	NA	NA	SL1344_0431
NC_016810.1	sRNA	1070213	1070327	+	1.63612e-5	6.66	NA	8.50104e-5	1.45	0.217501568	0.521122617	stnc140	NA	NA	NA	STnc140
NC_016810.1	CDS	4551459	4551794	-	2.04349e-10	6.64	NA	8.49412e-9	0.93	0.287787475	0.592075117	phna	-1.383794076	3.07441e-7	2.04959e-5	phnA
NC_017718.1	CDS	28331	28846	+	1.82896e-5	6.64	NA	9.36276e-5	3.33	0.006719852	0.075933201	ard	NA	NA	NA	ard
NC_016810.1	CDS	1890275	1891084	-	3.29852e-8	6.64	NA	4.97536e-7	2.14	0.021885135	0.149885402	rrma	NA	NA	NA	rrmA
NC_016810.1	CDS	4708168	4709286	+	1.06815e-5	6.64	NA	5.98057e-5	0.58	0.600930336	0.820589545	sl1344_4376	NA	NA	NA	SL1344_4376
NC_016810.1	CDS	4537151	4537297	+	5.37294e-7	6.63	NA	4.98088e-6	1.48	0.124341051	0.40193463	sl1344_4212	NA	NA	NA	SL1344_4212
NC_016810.1	CDS	1956645	1957388	+	2.8557e-11	6.62	NA	1.58027e-9	2.25	0.015389458	0.121300863	sl1344_1840	-0.282371701	0.214286087	0.840851232	SL1344_1840
NC_016810.1	CDS	2457342	2457986	-	5.48994e-12	6.6	NA	4.06923e-10	0.75	0.396762821	0.681686588	sl1344_2317	NA	NA	NA	SL1344_2317
NC_016810.1	CDS	3046988	3047236	-	5.37151e-14	6.6	NA	9.14171e-12	2.13	0.014663301	0.118726817	sipf	-0.12500589	0.492126433	0.951670844	sipF
NC_016810.1	CDS	3424056	3425387	-	6.33312e-6	6.6	NA	3.85978e-5	0.05	0.95988851	0.985302479	sl1344_3211	NA	NA	NA	SL1344_3211
NC_016810.1	CDS	782065	782400	+	1.31077e-5	6.6	NA	7.12678e-5	1.56	0.162134401	0.456112874	sl1344_0698	NA	NA	NA	SL1344_0698
NC_016810.1	CDS	2077110	2077943	+	6.84331e-6	6.59	NA	4.12844e-5	0.2	0.844742118	0.943638074	sl1344_1973	NA	NA	NA	SL1344_1973
NC_016810.1	CDS	788325	790103	+	5.10008e-6	6.59	NA	3.2328e-5	-0.51	0.599852792	0.820079165	sl1344_0706	NA	NA	NA	SL1344_0706
NC_016810.1	CDS	2878212	2878793	-	1.99163e-12	6.58	NA	1.76882e-10	-0.72	0.411887457	0.691885714	sl1344_2696	0.141797159	0.570586392	0.962120616	SL1344_2696
NC_016810.1	CDS	765750	766427	-	1.54739e-9	6.57	NA	4.12242e-8	3.81	1.90685e-4	0.009219239	kdpe	NA	NA	NA	kdpE
NC_016810.1	CDS	3115396	3116193	-	5.29468e-12	6.56	NA	3.97984e-10	0.87	0.303190399	0.602207308	sl1344_2929	NA	NA	NA	SL1344_2929
NC_016810.1	CDS	216394	216849	-	1.96031e-12	6.56	NA	1.7682e-10	2.78	0.002743773	0.046158335	dksa	-0.072886958	0.709664552	0.980552058	dksA
NC_016810.1	CDS	2780841	2782463	+	1.4976e-5	6.56	NA	7.93674e-5	1.38	0.216047646	0.519777966	nadb	NA	NA	NA	nadB
NC_016810.1	CDS	1136741	1136851	-	4.49388e-9	6.55	NA	9.5827e-8	-1.09	0.226126829	0.530278718	sl1344_1032	NA	NA	NA	SL1344_1032
NC_016810.1	sRNA	693987	694033	+	1.24485e-7	6.55	NA	1.44885e-6	3.44	6.55472e-4	0.020099141	styr-126	NA	NA	NA	StyR-126
NC_016810.1	sRNA	3260147	3260233	-	4.14469e-5	6.55	NA	1.89388e-4	2.11	0.101315273	0.363549377	slnc0030	NA	NA	NA	SLnc0030
NC_017718.1	CDS	80672	81739	-	3.47558e-7	6.54	NA	3.50963e-6	0.87	0.411396192	0.691885714	pill	NA	NA	NA	pilL
NC_016810.1	CDS	401375	402628	+	3.4785e-7	6.54	NA	3.50963e-6	-0.41	0.699494628	0.878648756	sl1344_0351	NA	NA	NA	SL1344_0351
NC_016810.1	CDS	23335	24039	+	1.61129e-5	6.54	NA	8.39654e-5	1.43	0.201821494	0.502765065	sl1344_0020	NA	NA	NA	SL1344_0020
NC_016810.1	CDS	4672145	4672489	+	2.76845e-10	6.54	NA	1.06261e-8	3.58	4.48543e-4	0.016181145	sl1344_4344	-0.041592781	0.869514724	0.988871448	SL1344_4344
NC_016810.1	CDS	1611987	1613114	+	2.71147e-12	6.53	NA	2.2438e-10	0.37	0.687373516	0.871293074	ompd	-0.757716942	1.53124e-4	0.006424077	ompD
NC_016810.1	CDS	4733500	4733916	+	4.8429e-16	6.53	NA	2.79972e-13	2.86	2.73472e-4	0.011448517	sl1344_4400	-0.445783186	0.047240073	0.510305938	SL1344_4400
NC_016810.1	CDS	1188744	1189064	+	4.52301e-10	6.52	NA	1.51102e-8	0.94	0.332417685	0.630183427	sl1344_1083	NA	NA	NA	SL1344_1083
NC_017720.1	CDS	20311	20619	-	1.7629e-5	6.51	NA	9.06059e-5	0.86	0.443380554	0.714706144	sl1344_p1_0018	NA	NA	NA	SL1344_P1_0018
NC_016810.1	CDS	2930996	2932978	-	5.04945e-15	6.5	NA	1.62665e-12	-0.45	0.571476248	0.806185439	sl1344_2752	0.073746494	0.754467622	0.980552058	SL1344_2752
NC_016810.1	CDS	2165334	2166335	-	1.11071e-13	6.5	NA	1.69807e-11	-0.64	0.445652901	0.716041748	rfbv	0.321401174	0.216042492	0.840851232	rfbV
NC_016810.1	CDS	1230337	1230561	+	4.12078e-10	6.49	NA	1.39785e-8	2.74	0.002876836	0.047918848	sl1344_1125	NA	NA	NA	SL1344_1125
NC_016810.1	CDS	944335	944598	-	1.1805e-12	6.49	NA	1.17476e-10	1.71	0.050617591	0.246314344	grxa	-1.420038169	1.07387e-11	1.76115e-9	grxA
NC_016810.1	CDS	486266	487177	-	1.78112e-11	6.49	NA	1.06396e-9	2.45	0.006268497	0.072909102	apba	0.090875285	0.708349921	0.980552058	apbA
NC_016810.1	CDS	388268	389011	+	9.77624e-14	6.48	NA	1.52037e-11	0.45	0.574326447	0.807672757	sl1344_0339	-0.298936443	0.225145264	0.851492781	SL1344_0339
NC_016810.1	CDS	3985802	3986497	-	1.80153e-5	6.47	NA	9.23282e-5	0.77	0.483025123	0.744704412	mgtc	NA	NA	NA	mgtC
NC_016810.1	CDS	3087774	3088010	+	6.2044e-5	6.47	NA	2.64854e-4	4.88	8.80803e-4	0.024452241	sl1344_2902	NA	NA	NA	SL1344_2902
NC_016810.1	CDS	3876954	3877952	+	1.47435e-5	6.47	NA	7.83654e-5	0.62	0.562344511	0.800332504	sl1344_3633	NA	NA	NA	SL1344_3633
NC_017718.1	CDS	70653	71006	+	1.5479e-5	6.46	NA	8.11594e-5	0.57	0.592906907	0.816983283	shfc	NA	NA	NA	shfC
NC_016810.1	CDS	3926630	3927562	+	6.1754e-15	6.46	NA	1.79684e-12	2.09	0.008816943	0.089174057	rfad	0.093960415	0.637443865	0.974581643	rfaD
NC_016810.1	CDS	586187	587335	+	2.17517e-5	6.46	NA	1.09243e-4	0.98	0.38310752	0.671369768	glxk	NA	NA	NA	glxK
NC_016810.1	CDS	946820	947296	+	4.81573e-10	6.45	NA	1.59698e-8	4.14	1.25745e-5	0.001437756	sl1344_0853	NA	NA	NA	SL1344_0853
NC_016810.1	sRNA	3033415	3033542	-	5.37471e-10	6.44	NA	1.76291e-8	1.91	0.048062608	0.238054593	stnc590	-0.37189463	0.084529007	0.630120645	STnc590
NC_016810.1	CDS	4580663	4580932	-	4.79407e-8	6.44	NA	6.70426e-7	0.59	0.598366359	0.819088605	sl1344_4248	-1.49608252	1.50428e-7	1.08549e-5	SL1344_4248
NC_016810.1	CDS	2937418	2937990	+	6.29495e-8	6.44	NA	8.25298e-7	-0.46	0.613777569	0.827686472	hin	NA	NA	NA	hin
NC_016810.1	CDS	1444827	1445609	+	1.41082e-8	6.43	NA	2.4758e-7	0.8	0.475994336	0.740045585	ssef	NA	NA	NA	sseF
NC_016810.1	CDS	4700822	4701706	+	1.70317e-5	6.43	NA	8.79426e-5	0.3	0.781999834	0.914592732	sl1344_4366	NA	NA	NA	SL1344_4366
NC_016810.1	CDS	2229212	2230258	+	8.01284e-6	6.42	NA	4.71159e-5	-2.45	0.013591856	0.114470236	sl1344_2113	NA	NA	NA	SL1344_2113
NC_016810.1	CDS	3547347	3547976	-	7.54666e-10	6.41	NA	2.26903e-8	1.32	0.177053809	0.476238037	sl1344_3330	-0.386276206	0.104356381	0.649844828	SL1344_3330
NC_016810.1	sRNA	2953269	2953441	+	1.19548e-11	6.41	NA	7.59381e-10	1.65	0.064559062	0.282422744	stnc1490	-0.219821817	0.382474678	0.929724271	STnc1490
NC_016810.1	sRNA	2445310	2445474	-	5.22802e-13	6.41	NA	5.96921e-11	3.84	4.665e-6	7.86752e-4	styr-262	NA	NA	NA	StyR-262
NC_016810.1	CDS	1131870	1132550	-	5.50384e-12	6.4	NA	4.06923e-10	-1.34	0.122805716	0.399636931	pipa	NA	NA	NA	pipA
NC_016810.1	sRNA	1062745	1062806	-	2.45699e-12	6.39	NA	2.09155e-10	7.29	6.44357e-15	1.44894e-11	stnc1080	-0.485932603	0.00559738	0.134635651	STnc1080
